Libraries
std
 dplug





















argparse
 os
 sys
 platform
System
 AudioPlugSharp
 AudioPlugSharpWPF



























Visualizer
 AtomicF32
 ViziaState
 Ordering
 Arc



cdylib



cdylib
 VST3
 IPluginFactory
 IPluginFactory2
 IPluginFactory3
 IID








stdfaust













Arc







octasine

ebur128
 stdfaust
















argparse
 pathlib
 shutil
 subprocess
 sys
 tempfile
bincode
 egui_extras
 egui_glow
 glutin
 num
 rand
 serde
 vst3_com
 vst3_sys











dylib

kickmessvst



















System
 Jacobi
fileinput
 glob
 string
 sys
 os
 re
 uuid
 pprint
 random
 os
 shutil

vst2
 simplelog
 dd_dsp




nih_plug_egui
 std
 nih_plug

vst
 std



vst
 std







anyhow
 crossbeam_channel
 nih_plug
 parking_lot
 rosc
 rubato
 std
simplelog
 num_traits
 asprim
 std
 app_dirs
 vst
 easyvst
 looper_fsm
 looper_fsm
 tinyui
  recording_buffer
 std
 version





vst
 hybrid_string













matplotlib
 numpy
 pylab
 wave
 array
 scipy

vst
 oscillator
 waves
 note


GrapherVST
 Jacobi
 Microsoft
 System










child_process
  path
 gulp
 fs
 os
 url
 plist
 glob















dplug
 synth2
 mir
 core











raw_window_handle
 std
 vst



vst




audio_setup
 buffer
 context
 editor
 formatters
 midi
 nih_debug_assert_eq
 plugin
 prelude
 util
 wrapper
 serde
 nih_plug_webview
 std
 serde_json




awt
 swing
 wrapper
 util
vst





wlambda
 hexotk
 open_window
 ext_param_model
 std
enum
 os
 construct 
vst
 std
vst
 karplus
 std
