frameworks
dplug
None
dpf
dpf
JUCE
JUCE
JUCE
nih_plug
JUCE
None
JUCE
VST3 SDK
JUCE
JUCE
JUCE
VST3 SDK
JUCE
JUCE
JUCE
JUCE
JUCE
JUCE
JUCE
Jamba 
JUCE
JUCE
JUCE
AudioPlugSharp
JUCE
JUCE
nih-plug
JUCE
JUCE
Jamba
JUCE
JUCE
Jamba
ASPiK 
JUCE
JUCE
JUCE
JUCE
JUCE
JUCE
JUCE
JUCE
JUCE
JUCE
JUCE
iPlug 2
JUCE
VST3 SDK
JUCE
JUCE
JUCE
JUCE
JUCE
nih-plug
JUCE
JUCE
JUCE
nih-plug
JUCE
ASPiK
JUCE
VST3-SYS 
JUCE
VST3 SDK
IPlug 2
JUCE
JUCE
JUCE
JUCE
VST SDK
JUCE
IPlug
JUCE
JUCE
JUCE
None
None
JUCE
JUCE
JUCE
dpf
JUCE
JUCE
JUCE
dpf
None
JUCE
JUCE
JUCE
nih_plug
JUCE
JUCE
JUCE
JUCE
dpf
VST2 SDK
JUCE
Spatial Audio
None
JUCE
dpf
None
JUCE
JUCE
dpf
dpf
AudioUnitSDK
VST SDK
JUCE
VST SDK
JUCE
JUCE
dpf
VST SDK
VST SDK
iPlug
JUCE
Jamba
JUCE
None
VST3-SYS
None
VST SDK
VST3 SDK
None
JUCE
JUCE
JUCE
None
JUCE
None
JUCE
JUCE
JUCE
JUCE
iPlug 
JUCE
None
JUCE
JUCE
None
None
VST-RS
VST3 SDK
dpf
VST3 SDK
Jamba
VST3 SDK
Jamba
None
JUCE
JUCE
dpf
Cabbage
JUCE
JUCE
JUCE
JUCE
VST3 SDK
None
JUCE
None
JUCE
dpf
None
iPlug2
dpf
None
VST3 SDK
VST SDK
JUCE
VST SDK
Spatial Audio 
VST SDK
JUCE
nih_plug
JUCE
JUCE
JUCE
None
JUCE
None
JUCE
JUCE
VST3 SDK
VST2 SDK
VST-RS
JUCE
None
None
JUCE
JUCE
WDL-OL
VST3 SDK
VST2 SDK
None
nih_plug
None
None
JUCE
None
None
None
None
JUCE
VST3 SDK
VST2 SDK
iPlug Tale Edition
AAX SDK
JUCE
WDL-OL
VST2 SDK
JUCE
JUCE
JUCE
JUCE
JUCE
JUCE
VST3 SDK
JUCE
JUCE
None
dpf
None
JUCE
WDL-OL
None
JUCE
JUCE
dpf
None
JUCE
JUCE
JUCE
JUCE
JUCE
JUCE
JUCE
JUCE
JUCE
VST3-SDK
JUCE
None
JUCE
JUCE
JUCE
None
VST3 SDK
None
JUCE
None
JUCE
dpf
JUCE
None
JUCE
JUCE
JUCE
None
iPlug2
dpf
JUCE
dplug
JUCE
None
Spatial Audio
JUCE
dpf
dpf
JUCE
dpf
JUCE
JUCE
dpf
JUCE
Cabbage
None
None
None
Cabbage
JUCE
iPlug2
JUCE
JUCE
None
JUCE
JUCE
JUCE
JUCE
nig-plug
VST SDK
None
JUCE
JUCE
None
VST-RS 
JUCE
JUCE
JUCE
None
JUCE
None
None
VST-RS 
JUCE
None
JUCE
