full_name,programming_languages
emanuelemessina/ReaShader,[]
GiorgosKoulouris/DeCoderPlugin,"['CMake', 'Makefile', 'Batchfile', 'Python', 'C++', 'Objective-C++', 'C', 'Java', 'R', 'Objective-C']"
asb2m10/dexed,"['Shell', 'C++', 'C', 'Inno Setup', 'CMake']"
michaelwillis/dragonfly-reverb,"['Makefile', 'C++', 'C', 'Shell']"
monadgroup/axiom,"['CMake', 'C++', 'C', 'Rust', 'Shell']"
DamRsn/NeuralNote,"['CMake', 'C++', 'C', 'Python', 'Batchfile', 'Shell']"
greatest-ape/OctaSine,"['Rust', 'Shell', 'Handlebars']"
leomccormack/SPARTA,"['C++', 'Shell', 'Batchfile', 'CMake', 'C']"
trummerschlunk/master_me,"['Faust', 'Jupyter Notebook', 'Makefile', 'C', 'C++', 'Shell']"
amsynth/amsynth,"['Shell', 'C++', 'C', 'Makefile', 'M4', 'Inno Setup', 'Batchfile']"
jpcima/ADLplug,"['CMake', 'C', 'C++', 'Objective-C++', 'R', 'Makefile', 'Shell']"
ffAudio/Frequalizer,"['C++', 'CMake', 'Inno Setup']"
zamaudio/zam-plugins,"['Makefile', 'C++', 'C', 'MATLAB', 'POV-Ray SDL']"
wolf-plugins/wolf-shaper,"['Makefile', 'C++', 'C', 'HTML', 'Shell', 'CMake']"
sophiapoirier/destroyfx,"['C++', 'C', 'Objective-C', 'Makefile', 'Batchfile', 'Objective-C++', 'Shell', 'HTML', 'JavaScript', 'CSS']"
james34602/SpleeterRT,"['C', 'C++', 'Objective-C++', 'R']"
dozius/DtBlkFx,"['C++', 'C', 'Fortran', 'Scilab', 'Perl', 'MATLAB', 'Objective-C']"
p-hlp/CTAGDRC,['C++']
artfwo/andes,"['C++', 'Makefile', 'C', 'Objective-C++', 'R']"
wolf-plugins/wolf-spectrum,"['Makefile', 'C++', 'C', 'CMake', 'Shell']"
seven-phases/spectrum-analyzer,"['Batchfile', 'C++', 'C', 'HTML', 'Makefile']"
igorski/fogpad,"['CMake', 'C', 'Batchfile', 'Shell', 'C++']"
apohl79/GuitarAmp,"['C++', 'C', 'Objective-C++', 'Shell', 'Python', 'Inno Setup', 'Batchfile']"
szkkng/simple-reverb,"['CMake', 'C++']"
igorski/regrader,"['CMake', 'Batchfile', 'Shell', 'C++', 'C']"
cvde/RoomReverb,"['CMake', 'C++', 'C']"
joshua-maros/audiobench,"['Rust', 'CMake', 'Python', 'C++', 'C', 'Julia', 'Shell', 'HTML', 'NSIS']"
t-sin/soyboy-sp.vst3,"['Rust', 'Shell', 'PowerShell', 'Common Lisp']"
Iunusov/ShoutVST,"['Batchfile', 'CMake', 'C++', 'C']"
igorski/VSTSID,"['CMake', 'C++', 'Shell', 'C', 'Batchfile']"
attilammagyar/js80p,"['Makefile', 'Batchfile', 'HTML', 'C', 'Python', 'Shell', 'C++', 'CMake', 'Objective-C++', 'Objective-C', 'R', 'PowerShell', 'Smarty']"
kushview/roboverb,"['C++', 'Meson']"
Archie3d/aeolus_plugin,"['C++', 'C', 'CMake', 'Python']"
QVbDev/quantumVerb,"['C', 'C++', 'Objective-C++', 'R', 'CSS']"
reales/OB-Xd,"['C++', 'Objective-C++', 'C']"
MikeMorenoDSP/EP-MK1,['Shell']
trackbout/ripchord,"['C++', 'C']"
aliefhooghe/Gammou,"['C++', 'C', 'CMake', 'Python']"
usdivad/Melodrumatic,"['C', 'C++', 'Objective-C++', 'R', 'C#']"
qbroquetas/IV-XDelay,"['Makefile', 'C', 'C++', 'Objective-C++', 'R', 'Objective-C', 'Java', 'Pascal']"
xunil-cloud/CloudReverb,"['CMake', 'C++', 'C']"
Mrugalla/NEL-19,['C++']
martinic/DrMixAISynth,"['C++', 'Makefile', 'Batchfile', 'Shell', 'C']"
vroomai/vst,['C++']
Iunusov/LameVST,"['Batchfile', 'CMake', 'C++', 'C']"
Squishy47/OpenVerb,['C++']
DBraun/TD-JUCE,"['CMake', 'C', 'C++', 'Objective-C++']"
17cupsofcoffee/digidist,['Rust']
swesterfeld/spectmorph,"['Makefile', 'Shell', 'C++', 'M4', 'Python', 'C', 'Objective-C', 'Objective-C++', 'Dockerfile', 'Rich Text Format']"
WeirdConstructor/Kickmess,"['Shell', 'Rust']"
pongasoft/vst-sam-spl-64,"['CMake', 'C', 'Shell', 'C++', 'CSS', 'Groovy', 'Python']"
SpotlightKid/ykchorus,"['Makefile', 'C++', 'C', 'Shell']"
igorski/transformant,"['CMake', 'C', 'Batchfile', 'Shell', 'C++']"
igorski/homecorrupter,"['CMake', 'C', 'Batchfile', 'Shell', 'JavaScript', 'C++']"
datajake1999/OPL3GM_VSTi,"['C++', 'C', 'Batchfile', 'Inno Setup']"
unevens/Curvessor,"['C', 'C++']"
nimbletools/misstortion1,['C++']
linuxmao-org/VL1-emulator,"['C++', 'Objective-C', 'C', 'Makefile', 'Emacs Lisp', 'Shell']"
retornz/ToneZ,"['Inno Setup', 'Csound Document']"
abbysoft-team/Soompler,['C++']
utokusa/BiquadLimiter,"['C', 'C++', 'Objective-C++', 'R']"
shaduzlabs/throb,"['CMake', 'C++', 'Objective-C++']"
morukutsu/LondonClockT,"['C', 'C++', 'Objective-C++', 'R']"
igorski/darvaza,"['CMake', 'C', 'Batchfile', 'Shell', 'JavaScript', 'C++']"
SoundDevelopment/sound_meter,"['C++', 'C']"
FigBug/VirtualAnalog,"['C++', 'Shell']"
planaria/vv,['C++']
sdeleon28/IgnitionGuitarAmp,"['C++', 'C', 'Objective-C++', 'R', 'Shell', 'Python']"
SpotlightKid/midiomatic,"['Makefile', 'C', 'C++', 'Shell']"
LeifBloomquist/MIDIMapperX,"['C#', 'Inno Setup']"
olilarkin/iPlug2OnnxRuntime,"['Dockerfile', 'C++', 'C', 'Makefile', 'Inno Setup', 'Rich Text Format', 'TeX', 'Objective-C', 'Shell', 'Batchfile', 'Python']"
lucianoiam/castello,"['Makefile', 'C++', 'C', 'JavaScript', 'HTML', 'CSS', 'Shell']"
monomadic/dd-plugs,"['Rust', 'Shell']"
ddf/SpectralHarp,"['C++', 'C', 'JavaScript', 'CSS', 'Objective-C++', 'Inno Setup', 'Shell', 'Batchfile', 'Python', 'HTML']"
sunquan8094/overtonix,['C++']
ddf/evaluator,"['C++', 'Objective-C++', 'C', 'Inno Setup', 'Shell', 'Batchfile', 'Python', 'Rich Text Format']"
leomccormack/CroPaC-Binaural,"['C', 'C++', 'Batchfile', 'CMake']"
igorski/rechoir,"['CMake', 'C', 'Batchfile', 'Shell', 'C++', 'JavaScript']"
YPares/arpligner,"['Lua', 'Makefile', 'C++', 'C', 'Objective-C++', 'Java', 'CMake', 'Objective-C', 'Python']"
AlexW00/clockwork,['Rust']
unevens/Overdraw,"['C', 'C++']"
VirtualRaven/KandVST,"['CMake', 'C++', 'C', 'MATLAB', 'Python']"
lukemcraig/OvertoneFilter,"['C++', 'C']"
fake-industries/fuzzball,['Rust']
lukemcraig/PathSynth,['C++']
